date_time,mode_type,location_type,street,xstreet1,xstreet2,x_cord,y_cord,long,lat
2021-12-08 23:28:36,mv,Street,TALBOT AVE,NIGHTINGALE ST,WALES ST,768797.380000000000,2932427.460000000000,-71.0838560187467,42.2936987640586
2018-07-03 14:50:20,mv,Intersection,,BOSTON ST,CLAPP ST,774874.550000000000,2942806.640000000000,-71.0610458063861,42.3223729794266
2019-04-24 01:59:18,ped,Intersection,,WILLIAM F MCCLELLAN HWY,CURTIS ST,785444.680000000000,2965128.940000000000,-71.0214973802153,42.383469730759
2016-12-16 16:52:48,ped,Street,CUMMINS HWY,OAKLAND CT,FAIRWAY ST,765931.530000000000,2922935.850000000000,-71.0946073062228,42.2678633699215
2015-11-24 19:07:26,mv,Intersection,,BENNINGTON ST,TRIDENT ST,788441.240000000000,2965884.930000000000,-71.0103902182957,42.385497485234
2021-12-15 06:20:47,ped,Street,WASHINGTON ST,SHEPARD ST,CAMBRIDGE ST,750743.560000000000,2952083.670000000000,-71.1498373574333,42.3482835888817
2021-10-26 06:53:05,ped,Street,WALK HILL ST,FOTTLER RD,BLUE HILL AVE,766030.700000000000,2926503.170000000000,-71.0941702729062,42.277653403222
2015-06-06 23:19:42,ped,Street,COLUMBUS AVE,CLEAVES ST,DIXWELL ST,765230.520000000000,2939921.540000000000,-71.096770867713,42.314576278982
2019-02-05 16:10:15,ped,Intersection,,CENTRE ST,HASTINGS ST,749292.370000000000,2929320.360000000000,-71.1558432253393,42.2856882336443
2022-05-12 23:49:24,ped,Street,BENNINGTON ST,PORTER ST,LONDON ST,781131.930000000000,2962121.180000000000,-71.0375784446188,42.3753672941418
2021-09-25 20:30:39,mv,Intersection,,HYDE PARK AVE,RAMSDELL AVE,759147.810000000000,2926139.820000000000,-71.1194740582007,42.2768456599896
2021-05-12 14:22:41,mv,Intersection,,WALK HILL ST,AMERICAN LEGION HWY,762596.780000000000,2930098.860000000000,-71.1066623965221,42.2876665921133
2020-09-17 17:27:22,mv,Intersection,,AMERICAN LEGION HWY,CLARE AVE,759279.220000000000,2924559.710000000000,-71.119014577947,42.2725081091216
2020-09-29 10:47:40,ped,Intersection,,DORCHESTER AVE,SOUTHAMPTON ST,775953.030000000000,2945415.000000000000,-71.0570077868633,42.3295151107096
2016-09-28 01:27:06,mv,Intersection,,CURTIS ST,WILLIAM F MCCLELLAN HWY,785444.680000000000,2965128.940000000000,-71.0214973802153,42.383469730759
